src_name,    src_addr, dst_addr, length
,            0,        0,        8080
rom,         34010,    0080,     1000
rom,         35010,    1080,     1000
rom,         36010,    2080,     1000
rom,         37010,    3080,     1000
rom,         3C010,    4080,     1000
rom,         3D010,    5080,     1000
rom,         3E010,    6080,     1000
rom,         3F010,    7080,     1000
NsfSong.bin, 0,        0,        80
NsfSong.bin, 80,       120,      6
NsfSong.bin, 86,       3FB2,     CD
NsfSong.bin, 153,      8052,     6
NsfSong.bin, 159,      8060,     10
